,売上高10%増フラグ,売上高成長率t+1,売上高t+1,売上高t,売上高t-1,売上高t-2,売上高成長率t,売上高成長率t-1,資産t,負債t,純資産t,営業利益t,当期純利益t,営業CFt,投資CFt,財務CFt,ROSt,ROAt,ROEt,ATt,LEVt,営業CF比率t,投資CF比率t,財務CF比率t,FCFt
極洋,0,1.073319531,272167,253575,249197,262519,1.01756843,0.949253197,130460,88285,42174,6392,4634,-1128,-5225,5743,0.025207532,0.035520466,0.109878124,1.943699218,0.676720834,-0.004448388,-0.020605344,0.022648132,-6353
ニッスイ,1,1.107396473,768181,693682,615044,690016,1.127857519,0.891347447,505731,297133,208598,27076,17275,29118,-17260,-11265,0.039032294,0.034158476,0.082814792,1.371642237,0.587531712,0.041976006,-0.024881718,-0.01623943,11858
マルハニチロ,1,1.177401229,1020456,866702,809050,905204,1.071258884,0.893776431,548603,360707,187895,23819,16898,19249,-10258,-17200,0.027482341,0.030801873,0.089933207,1.579834598,0.657500962,0.022209479,-0.011835671,-0.019845345,8991
雪国まいたけ,0,0.896412566,42204,47081,51380,50759,0.916329311,1.012234284,36096,25625,10470,4975,2989,5606,-2554,-3107,0.105668954,0.082806959,0.28548233,1.304327349,0.709912456,0.119071388,-0.054246936,-0.065992651,3052
ホクト,0,1.028872723,72980,70932,73889,71220,0.959980511,1.037475428,104933,50423,54509,2014,2530,5851,-11608,3012,0.028393391,0.024110623,0.046414354,0.675974193,0.480525669,0.082487453,-0.163649693,0.042463204,-5757
ミライト・ワン,0,1.028916738,483987,470385,463744,441166,1.014320401,1.051178015,435785,186548,249237,32804,25163,12972,-46204,38395,0.069738618,0.057741776,0.10096013,1.07939695,0.428073477,0.02757741,-0.098225921,0.081624627,-33232
日鉄鉱業,1,1.10019989,164020,149082,119159,117502,1.251118254,1.014101888,197732,71360,126371,15715,9279,8539,-7256,-4759,0.105411787,0.046927154,0.073426656,0.753959905,0.360892521,0.057277203,-0.048671201,-0.031922029,1283
三井松島ホールディングス,1,1.717354911,80015,46592,57378,66596,0.812018544,0.861583278,67837,32300,35537,8417,5396,8911,2569,-11749,0.180653331,0.079543612,0.151841742,0.686822825,0.476141339,0.19125601,0.055138221,-0.252167754,11480
石油資源開発,1,1.350614113,336492,249140,240078,318822,1.037746066,0.753015789,471941,69171,402770,19809,-30988,-1052,52067,-70939,0.079509513,-0.06566075,-0.07693721,0.527904971,0.14656705,-0.004222525,0.208986915,-0.28473549,51015
安藤・間,0,1.093604629,372146,340293,352146,378135,0.966340666,0.931270578,295332,153650,141682,26600,17671,-36086,-4549,-22565,0.078167932,0.059834356,0.124722971,1.152238836,0.520261942,-0.106043909,-0.013367892,-0.066310503,-40635
東急建設,1,1.119279457,288867,258083,231483,322170,1.114911246,0.718511966,237811,144747,93064,-6078,-7459,12201,-476,-7531,-0.023550563,-0.031365244,-0.080149145,1.085244164,0.608664023,0.047275489,-0.001844368,-0.029180535,11725
コムシスホールディングス,0,0.956312773,563295,589028,563252,560882,1.04576282,1.004225488,524062,180573,343489,42963,29208,5244,-11109,6171,0.072938808,0.055733864,0.085033291,1.123966248,0.344564193,0.008902803,-0.018859884,0.010476582,-5865
ビーアールホールディングス,0,1.003426279,36022,35899,38797,34775,0.925303503,1.1156578,33961,20665,13296,2289,1527,20,-520,-639,0.063762222,0.04496334,0.11484657,1.057065457,0.608492094,0.000557119,-0.014485083,-0.017799939,-500
高松コンストラクショングループ,0,1.070433903,282495,263907,283080,282366,0.93227003,1.002528633,236719,115247,121471,11225,6727,2513,-6547,-1179,0.042533923,0.02841766,0.055379473,1.114853476,0.486851499,0.009522294,-0.024807982,-0.004467483,-4034
ヤマウラ,1,1.122915623,31381,27946,24829,23769,1.125538685,1.044595902,23247,6736,16511,2208,775,2973,-196,-1794,0.079009518,0.033337635,0.046938405,1.202133609,0.289757818,0.10638374,-0.007013526,-0.064195234,2777
オリエンタル白石,0,1.012416428,61480,60726,55224,47998,1.099630595,1.150547939,60952,21962,38989,5308,3778,8694,-1942,-2092,0.087409018,0.0619832,0.096899125,0.996292164,0.360316314,0.143167671,-0.031979712,-0.034449824,6752
大成建設,0,1.064456598,1642712,1543240,1480141,1751330,1.042630398,0.845152541,1956200,1083365,872835,96077,71436,80507,-37680,-41863,0.062256681,0.036517738,0.081843647,0.788896841,0.55381096,0.052167518,-0.024416163,-0.027126694,42827
大林組,0,1.031725263,1983888,1922884,1766893,2073043,1.088285482,0.852318548,2422085,1433171,988913,41051,39127,69697,-49833,-12457,0.021348662,0.016154264,0.039565665,0.793896168,0.591709622,0.036246076,-0.02591576,-0.00647829,19864
